Category,Product,Specific Item,Supplier/Platform,Supplier URL,Unit Price USD,Price After Discount USD,MOQ,CE Certified,EU Plug (Type C),Data Source,Confidence,AliExpress Orders (est),Star Rating,Shipping to Israel,Notes
Manual Tools,Dust Brush,Soft Nail Art Dust Brush Fan Pen,AliExpress,https://www.aliexpress.com/w/wholesale-nail-art-dust-brush.html,0.80,0.80,1,N/A,N/A,Category range estimate,Estimated,2000+,4.3+,ePacket ~$2,"Very cheap: $0.50-1.50. Easy item - low failure risk"
Manual Tools,Nail File (professional),Nano Glass Crystal Nail File,AliExpress,https://www.aliexpress.com/category/200002589/nail-files-buffers.html,3.00,3.00,1,N/A,N/A,Category range estimate,Estimated,500+,4.4+,ePacket ~$2-3,"Glass/crystal files: $2-5. More premium feel for kit presentation"
Consumables,Sanding Bands,MelodySusie 100pcs Sanding Bands with Mandrel,MelodySusie (retail),https://www.melodysusie.com/collections/sanding-bands,7.99,7.99,1,N/A,N/A,Search snippet confirmed,Confirmed - retail price,N/A,Unknown,US ship only,"RETAIL reference: $7.99 for 100pcs. AliExpress equivalent: $2-4 for 100pcs"
Consumables,Sanding Bands,100pcs Sanding Bands 3/32 Mandrel (AliExpress),AliExpress,https://www.aliexpress.com/w/wholesale-nail-drill-sanding-bands.html,2.50,2.50,1 pack,N/A,N/A,Category range estimate,Estimated,3000+,4.3+,ePacket ~$2,"Generic 100pcs: $2-4. Must confirm mandrel size matches your drill (3/32)"
Drill Accessories,Drill Bits,Makartt 3pcs Carbide Bits (branded),AliExpress,https://www.aliexpress.com/item/32898159809.html,19.99,19.99,1,N/A,N/A,Live price confirmed,Confirmed,Unknown,Unknown,ePacket ~$3-4,"CONFIRMED $19.99 for Makartt 3pcs branded. Premium. AliExpress generic 6pcs: $3-7"
Drill Accessories,Drill Bits,HYTOOS Flat Top Carbide Bit 3/32 (single),AliExpress,https://www.aliexpress.com/item/32704026199.html,5.50,4.02,1,N/A,N/A,Live price confirmed,Confirmed,Unknown,Unknown,ePacket ~$2,"CONFIRMED $4.02 after 27% off (original $5.50) for single premium bit"
Drill Accessories,Drill Bits,Generic 6pcs Carbide/Ceramic Bits Set,AliExpress,https://www.aliexpress.com/w/wholesale-carbide-nail-drill-bits-sets.html,4.00,4.00,1 set,N/A,N/A,Category range estimate,Estimated,2000+,4.3+,ePacket ~$2-3,"Generic 6pc sets: $3-7. Must confirm 3/32 shank fits your drill"
Drill Accessories,Drill Bits,30pcs Professional Drill Bit Set 3/32,AliExpress,https://www.aliexpress.com/item/1005010027023948.html,Unknown,Unknown,1 set,N/A,N/A,URL confirmed in search,URL confirmed - price not extracted,Unknown,Unknown,ePacket ~$3-4,"30pcs comprehensive set - visit URL for price. Est $8-15"
Drill Accessories,Drill Bits Storage,20-Hole Nail Drill Bits Storage Box,AliExpress,https://www.aliexpress.com/s/wiki-ssr/article/nail-drill-bits-storage-box,7.00,7.00,1,N/A,N/A,Search snippet estimate,Estimated,500+,4.3+,ePacket ~$2-3,"$6-9 for 20-hole storage box. Good value-add for kit packaging"
Storage & Accessories,Storage Pouch (Kit 1),Canvas/Nylon Tool Roll Pouch Zipper,AliExpress,https://www.aliexpress.com/w/wholesale-nail-tool-roll-pouch.html,2.50,2.50,1,N/A,N/A,Category range estimate,Estimated,1000+,4.3+,ePacket ~$2-3,"Small tool pouch: $2-4. Good quality zippers are key check point"
Storage & Accessories,Storage Case (Kit 2),Rigid Nail Drill Storage Case Compartments,AliExpress,https://www.aliexpress.com/w/wholesale-nail-supply-organizer.html,5.00,5.00,1,N/A,N/A,Category range estimate,Estimated,500+,4.3+,ePacket ~$3-4,"Hard case with foam/slots: $4-8. Essential for drill + lamp together"
Storage & Accessories,Storage Organizer (Kit 3),Nail Art Full Organizer Box Multi-Compartment,AliExpress,https://www.aliexpress.com/w/wholesale-nail-supply-organizer.html,7.00,7.00,1,N/A,N/A,Category range estimate,Estimated,300+,4.3+,ePacket ~$3-4,"Large organizer: $6-10. For Kit 3 with many items"
Storage & Accessories,Silicone Table Mat,Nail Art Silicone Desk Mat Washable,AliExpress,https://www.aliexpress.com/w/wholesale-nail-art-silicone-mat.html,4.00,4.00,1,N/A,N/A,Category range estimate,Estimated,1000+,4.3+,ePacket ~$3,"30x40cm mat: $3-6. Food-grade silicone preferred. Check for chemical smell reviews"
Nail Art,Stamping Kit,Nail Art Stamping 20 Plates + Scraper + Stamper,AliExpress,https://www.aliexpress.com/w/wholesale-nail-stamping-plates.html,8.00,8.00,1 set,N/A,N/A,Category range estimate,Estimated,3000+,4.3+,ePacket ~$3-4,"Full sets (20 plates + tools): $6-14. Stainless steel plates only. Check etching depth photos"
Nail Art,Practice Tips,Silicone Nail Practice Fingers Set 20pcs,AliExpress,https://www.aliexpress.com/item/1005001418691211.html,4.00,4.00,1 set,N/A,N/A,Category range estimate,Estimated,500+,4.3+,ePacket ~$3,"Individual tips: $3-6. Practice hand (10 fingers on stand): $15-25. Tips cheaper for Kit 3"
Drill Adapters,EU Plug Adapter,9V EU Plug AC Adapter for Nail Drill,AliExpress,https://www.aliexpress.com/item/32361438509.html,1.97,1.39,1,N/A,Yes,Live price confirmed,Confirmed,Unknown,Unknown,ePacket ~$2,"CONFIRMED: $1.39 adapter. Use only if drill comes with wrong plug - not ideal, ask for EU native"
